original r_id,species_index,reaction_index,source,target,directed_stoichiometric_value
R135,187,156,R156,HO2,0.072
R135,26,156,R156,MO2,0.008
R135,30,156,R156,ACO3,0.002
R135,110,156,R156,XO2,0.1
R135,97,156,R156,CO,0.243
R135,90,156,R156,HCHO,0.08
R135,186,156,R156,ACD,0.42
R135,188,156,R156,KET,0.028
R135,183,156,R156,GLY,0.491
R135,106,156,R156,MGLY,0.003
R135,10,156,R156,ORA1,0.044
R136,127,157,DCB1,R157,-1.0
R136,209,157,O3,R157,-1.0
R136,182,157,R157,HO,0.05
R136,187,157,R157,HO2,1.0
R136,173,157,R157,RCO3,0.6
R136,110,157,R157,XO2,0.6
R136,97,157,R157,CO,1.5
R136,207,157,R157,CO2,0.5
R136,90,157,R157,HCHO,0.05
R136,183,157,R157,GLY,0.05
R136,106,157,R157,MGLY,0.08
R136,124,157,R157,OP2,0.65
R137,108,158,DCB2,R158,-1.0
R137,209,158,O3,R158,-1.0
R137,182,158,R158,HO,0.05
R137,187,158,R158,HO2,1.0
R137,173,158,R158,RCO3,0.6
R137,110,158,R158,XO2,0.6
R137,97,158,R158,CO,1.5
R137,207,158,R158,CO2,0.5
R137,90,158,R158,HCHO,0.05
R137,183,158,R158,GLY,0.05
R137,106,158,R158,MGLY,0.08
R137,127,158,R158,DCB1,0.7
R137,124,158,R158,OP2,0.65
R138,115,159,DCB3,R159,-1.0
R138,209,159,O3,R159,-1.0
R138,182,159,R159,HO,0.05
R138,187,159,R159,HO2,1.0
R138,97,159,R159,CO,1.5
R138,207,159,R159,CO2,0.5
R138,183,159,R159,GLY,0.48
R138,127,159,R159,DCB1,0.7
R138,10,159,R159,ORA1,0.25
R138,177,159,R159,ORA2,0.25
R138,181,159,R159,PAA,0.11
R140,217,160,MCTO,R160,-1.0
R140,209,160,O3,R160,-1.0
R140,179,160,R160,MCTP,1.0
R141,13,161,ETE,R161,-1.0
R141,122,161,NO3,R161,-1.0
R141,80,161,R161,OLNN,0.8
R141,125,161,R161,OLND,0.2
R142,14,162,OLT,R162,-1.0
R142,122,162,NO3,R162,-1.0
R142,80,162,R162,OLNN,0.43
R142,125,162,R162,OLND,0.57
R143,121,163,OLI,R163,-1.0
R143,122,163,NO3,R163,-1.0
R143,80,163,R163,OLNN,0.11
R143,125,163,R163,OLND,0.89
R146,193,164,API,R164,-1.0
R146,122,164,NO3,R164,-1.0
R146,112,164,R164,APINP1,0.975
R146,178,164,R164,APINP2,0.025
R147,141,165,LIM,R165,-1.0
R147,122,165,NO3,R165,-1.0
R147,191,165,R165,LIMNP1,0.945
R147,54,165,R165,LIMNP2,0.055
TRP10,176,166,VTRPN,R166,-1.0
TRP10,122,166,NO3,R166,-1.0
TRP10,37,166,R166,VHONIT,0.33
TRP10,56,166,R166,NO2,0.67
TRP10,154,166,R166,PINAL,0.27
TRP10,188,166,R166,KET,0.38
TRP10,90,166,R166,HCHO,0.21
TRP10,190,166,R166,ALD,0.02
R148,90,167,HCHO,R167,-1.0
R148,122,167,NO3,R167,-1.0
R148,187,167,R167,HO2,1.0
R148,97,167,R167,CO,1.0
R148,165,167,R167,HNO3,1.0
R149,186,168,ACD,R168,-1.0
R149,122,168,NO3,R168,-1.0
R149,30,168,R168,ACO3,1.0
R149,165,168,R168,HNO3,1.0
R150,190,169,ALD,R169,-1.0
R150,122,169,NO3,R169,-1.0
R150,173,169,R169,RCO3,1.0
R150,165,169,R169,HNO3,1.0
R151,138,170,MACR,R170,-1.0
R151,122,170,NO3,R170,-1.0
R151,90,170,R170,HCHO,0.68
R151,82,170,R170,MACP,0.32
R151,110,170,R170,XO2,0.68
R151,106,170,R170,MGLY,0.68
R151,165,170,R170,HNO3,0.32
R151,56,170,R170,NO2,0.68
R152,206,171,UALD,R171,-1.0
R152,122,171,NO3,R171,-1.0
R152,187,171,R171,HO2,1.0
R152,110,171,R171,XO2,1.0
R152,97,171,R171,CO,0.668
R152,90,171,R171,HCHO,0.332
R152,190,171,R171,ALD,0.332
R152,203,171,R171,ONIT,1.0
R153,183,172,GLY,R172,-1.0
R153,122,172,NO3,R172,-1.0
R153,187,172,R172,HO2,1.0
R153,97,172,R172,CO,2.0
R153,165,172,R172,HNO3,1.0
R154,106,173,MGLY,R173,-1.0
R154,122,173,NO3,R173,-1.0
R154,30,173,R173,ACO3,1.0
R154,97,173,R173,CO,1.0
R154,165,173,R173,HNO3,1.0
RBAL1,51,174,BALD,R174,-1.0
RBAL1,122,174,NO3,R174,-1.0
RBAL1,91,174,R174,BALP,1.0
RBAL1,165,174,R174,HNO3,1.0
R155,197,175,PHEN,R175,-1.0
R155,122,175,NO3,R175,-1.0
R155,52,175,R175,ASOATJ,0.152
R155,194,175,R175,CHO,0.339
R155,200,175,R175,ADDC,0.85
R155,105,175,R175,ADCN,0.424
R155,165,175,R175,HNO3,0.424
R156,128,176,CSL,R176,-1.0
R156,122,176,NO3,R176,-1.0
R156,52,176,R176,ASOATJ,0.2
R156,194,176,R176,CHO,0.32
R156,200,176,R176,ADDC,0.08
R156,105,176,R176,ADCN,0.4
R156,165,176,R176,HNO3,0.4
R158,152,177,MCT,R177,-1.0
R158,122,177,NO3,R177,-1.0
R158,217,177,R177,MCTO,1.0
R158,165,177,R177,HNO3,1.0
R159,185,178,MPAN,R178,-1.0
R159,122,178,NO3,R178,-1.0
R159,82,178,R178,MACP,1.0
R159,56,178,R178,NO2,1.0
R159,165,178,R178,HNO3,1.0
RBAL2,91,179,BALP,R179,-1.0
RBAL2,56,179,NO2,R179,-1.0
RBAL2,19,179,R179,PAN,1.0
TRP11,69,180,PINALP,R180,-1.0
TRP11,135,180,R180,VHOM,1.0
TRP12,147,181,LIMALP,R181,-1.0
TRP12,135,181,R181,VHOM,1.0
R166,30,182,ACO3,R182,-1.0
R166,56,182,NO2,R182,-1.0
R166,19,182,R182,PAN,1.0
R167,19,183,PAN,R183,-1.0
R167,30,183,R183,ACO3,1.0
R167,56,183,R183,NO2,1.0
R168,173,184,RCO3,R184,-1.0
R168,56,184,NO2,R184,-1.0
R168,33,184,R184,PPN,1.0
R169,33,185,PPN,R185,-1.0
R169,173,185,R185,RCO3,1.0
R169,56,185,R185,NO2,1.0
R170,82,186,MACP,R186,-1.0
R170,56,186,NO2,R186,-1.0
R170,185,186,R186,MPAN,1.0
R171,185,187,MPAN,R187,-1.0
R171,82,187,R187,MACP,1.0
R171,56,187,R187,NO2,1.0
R172,26,188,MO2,R188,-1.0
R172,204,188,NO,R188,-1.0
R172,187,188,R188,HO2,1.0
R172,56,188,R188,NO2,1.0
R172,90,188,R188,HCHO,1.0
R173,32,189,ETHP,R189,-1.0
R173,204,189,NO,R189,-1.0
R173,187,189,R189,HO2,1.0
R173,56,189,R189,NO2,1.0
R173,186,189,R189,ACD,1.0
R174,116,190,HC3P,R190,-1.0
R174,204,190,NO,R190,-1.0
R174,187,190,R190,HO2,0.66
R174,26,190,R190,MO2,0.131
R174,32,190,R190,ETHP,0.048
R174,110,190,R190,XO2,0.089
R174,56,190,R190,NO2,0.935
R174,186,190,R190,ACD,0.504
R174,190,190,R190,ALD,0.132
R174,5,190,R190,ACT,0.165
R174,94,190,R190,MEK,0.042
R174,203,190,R190,ONIT,0.065
R175,149,191,HC5P,R191,-1.0
R175,204,191,NO,R191,-1.0
R175,187,191,R191,HO2,0.2
R175,26,191,R191,MO2,0.051
R175,32,191,R191,ETHP,0.231
R175,110,191,R191,XO2,0.235
R175,56,191,R191,NO2,0.864
R175,90,191,R191,HCHO,0.018
R175,186,191,R191,ACD,0.045
R175,190,191,R191,ALD,0.203
R175,94,191,R191,MEK,0.033
R175,5,191,R191,ACT,0.217
R175,188,191,R191,KET,0.033
R175,57,191,R191,HKET,0.272
R175,203,191,R191,ONIT,0.136
R177,212,192,ETEP,R192,-1.0
R177,204,192,NO,R192,-1.0
R177,187,192,R192,HO2,1.0
R177,56,192,R192,NO2,1.0
R177,90,192,R192,HCHO,1.6
R177,186,192,R192,ACD,0.2
R178,168,193,OLTP,R193,-1.0
R178,204,193,NO,R193,-1.0
R178,187,193,R193,HO2,0.78
R178,56,193,R193,NO2,0.97
R178,90,193,R193,HCHO,0.78
R178,186,193,R193,ACD,0.012
R178,190,193,R193,ALD,0.44
R178,5,193,R193,ACT,0.06
R178,94,193,R193,MEK,0.13
R178,203,193,R193,ONIT,0.03
R179,164,194,OLIP,R194,-1.0
R179,204,194,NO,R194,-1.0
R179,187,194,R194,HO2,0.83
R179,56,194,R194,NO2,0.95
R179,186,194,R194,ACD,0.81
R179,190,194,R194,ALD,0.68
R179,5,194,R194,ACT,0.2
R179,188,194,R194,KET,0.09
R179,57,194,R194,HKET,0.02
R179,203,194,R194,ONIT,0.05
ROCARO33,136,195,BENP,R195,-1.0
ROCARO33,204,195,NO,R195,-1.0
ROCARO33,203,195,R195,ONIT,0.0
ROCARO33,25,195,R195,VROCP4OXY2,0.0012
ROCARO33,78,195,R195,VROCN1OXY6,0.0008
ROCARO33,56,195,R195,NO2,0.998
ROCARO33,187,195,R195,HO2,0.998
ROCARO33,51,195,R195,BALD,0.0
ROCARO33,183,195,R195,GLY,0.998
ROCARO33,180,195,R195,FURANONE,0.499
ROCARO33,108,195,R195,DCB2,0.2495
ROCARO33,115,195,R195,DCB3,0.2495
ROCARO43,66,196,TOLP,R196,-1.0
ROCARO43,204,196,NO,R196,-1.0
ROCARO43,203,196,R196,ONIT,0.0002
ROCARO43,25,196,R196,VROCP4OXY2,0.0013
ROCARO43,78,196,R196,VROCN1OXY6,0.0006
ROCARO43,56,196,R196,NO2,0.998
ROCARO43,187,196,R196,HO2,0.998
ROCARO43,51,196,R196,BALD,0.0852
ROCARO43,183,196,R196,GLY,0.5477
ROCARO43,106,196,R196,MGLY,0.3651
ROCARO43,180,196,R196,FURANONE,0.3651
ROCARO43,127,196,R196,DCB1,0.5477
ROCARO53,146,197,XYLP,R197,-1.0
ROCARO53,204,197,NO,R197,-1.0
ROCARO53,203,197,R197,ONIT,0.0001
ROCARO53,49,197,R197,VROCP3OXY2,0.0013
ROCARO53,134,197,R197,VROCP0OXY4,0.0006
ROCARO53,56,197,R197,NO2,0.998
ROCARO53,187,197,R197,HO2,0.998
ROCARO53,51,197,R197,BALD,0.0481
ROCARO53,183,197,R197,GLY,0.7029
ROCARO53,106,197,R197,MGLY,0.247
ROCARO53,180,197,R197,FURANONE,0.3515
ROCARO53,108,197,R197,DCB2,0.5984
ROCARO63,65,198,EBZP,R198,-1.0
ROCARO63,204,198,NO,R198,-1.0
ROCARO63,203,198,R198,ONIT,0.0002
ROCARO63,49,198,R198,VROCP3OXY2,0.0013
ROCARO63,134,198,R198,VROCP0OXY4,0.0006
ROCARO63,56,198,R198,NO2,0.998
ROCARO63,187,198,R198,HO2,0.998
ROCARO63,51,198,R198,BALD,0.0852
ROCARO63,183,198,R198,GLY,0.5477
ROCARO63,106,198,R198,MGLY,0.3651
ROCARO63,180,198,R198,FURANONE,0.4564
ROCARO63,108,198,R198,DCB2,0.4564
R189,18,199,APIP1,R199,-1.0
R189,204,199,NO,R199,-1.0
R189,176,199,R199,VTRPN,0.237
R189,187,199,R199,HO2,0.763
R189,56,199,R199,NO2,0.763
R189,154,199,R199,PINAL,0.195
R189,190,199,R199,ALD,0.284
R189,5,199,R199,ACT,0.0865
R189,171,199,R199,LIMAL,0.1285
R189,90,199,R199,HCHO,0.308
R189,77,199,R199,OPB,0.0715
R189,188,199,R199,KET,0.084
TRP13,161,200,APIP2,R200,-1.0
TRP13,204,200,NO,R200,-1.0
TRP13,182,200,R200,HO,0.82
TRP13,56,200,R200,NO2,0.82
TRP13,135,200,R200,VHOM,1.0
TRP14,112,201,APINP1,R201,-1.0
TRP14,204,201,NO,R201,-1.0
TRP14,56,201,R201,NO2,1.6955
TRP14,176,201,R201,VTRPN,0.2345
TRP14,203,201,R201,ONIT,0.07
TRP14,154,201,R201,PINAL,0.6045
TRP14,190,201,R201,ALD,0.154
TRP14,188,201,R201,KET,0.007
TRP14,90,201,R201,HCHO,0.007
TRP14,187,201,R201,HO2,0.1645
TRP15,178,202,APINP2,R202,-1.0
TRP15,204,202,NO,R202,-1.0
TRP15,56,202,R202,NO2,0.82
TRP15,182,202,R202,HO,0.82
TRP15,135,202,R202,VHOM,1.0
R190,34,203,LIMP1,R203,-1.0
R190,204,203,NO,R203,-1.0
R190,176,203,R203,VTRPN,0.23
R190,56,203,R203,NO2,0.77
R190,171,203,R203,LIMAL,0.77
R190,187,203,R203,HO2,0.77
R190,90,203,R203,HCHO,0.43
TRP16,103,204,LIMP2,R204,-1.0
TRP16,204,204,NO,R204,-1.0
TRP16,182,204,R204,HO,0.77
TRP16,56,204,R204,NO2,0.77
TRP16,135,204,R204,VHOM,1.0
TRP17,191,205,LIMNP1,R205,-1.0
TRP17,204,205,NO,R205,-1.0
TRP17,176,205,R205,VTRPN,0.57
TRP17,203,205,R205,ONIT,0.07
TRP17,56,205,R205,NO2,1.36
TRP17,171,205,R205,LIMAL,0.43
TRP17,187,205,R205,HO2,0.5
TRP18,54,206,LIMNP2,R206,-1.0
TRP18,204,206,NO,R206,-1.0
TRP18,56,206,R206,NO2,0.77
TRP18,182,206,R206,HO,0.77
TRP18,135,206,R206,VHOM,1.0
TRP19,69,207,PINALP,R207,-1.0
TRP19,204,207,NO,R207,-1.0
TRP19,176,207,R207,VTRPN,0.36
TRP19,135,207,R207,VHOM,0.64
TRP19,56,207,R207,NO2,0.64
TRP20,147,208,LIMALP,R208,-1.0
TRP20,204,208,NO,R208,-1.0
TRP20,176,208,R208,VTRPN,0.64
TRP20,56,208,R208,NO2,0.36
TRP20,187,208,R208,HO2,0.36
TRP20,90,208,R208,HCHO,0.36
TRP20,181,208,R208,PAA,0.36
R191,30,209,ACO3,R209,-1.0
R191,204,209,NO,R209,-1.0
R191,26,209,R209,MO2,1.0
R191,56,209,R209,NO2,1.0
R191,207,209,R209,CO2,1.0
R192,173,210,RCO3,R210,-1.0
R192,204,210,NO,R210,-1.0
R192,32,210,R210,ETHP,1.0
R192,56,210,R210,NO2,1.0
R192,207,210,R210,CO2,1.0
R193,208,211,ACTP,R211,-1.0
R193,204,211,NO,R211,-1.0
R193,30,211,R211,ACO3,1.0
R193,56,211,R211,NO2,1.0
R193,90,211,R211,HCHO,1.0
R194,202,212,MEKP,R212,-1.0
R194,204,212,NO,R212,-1.0
R194,187,212,R212,HO2,0.67
R194,56,212,R212,NO2,1.0
R194,90,212,R212,HCHO,0.33
R194,127,212,R212,DCB1,0.67
R195,148,213,KETP,R213,-1.0
R195,204,213,NO,R213,-1.0
R195,187,213,R213,HO2,0.77
R195,30,213,R213,ACO3,0.23
R195,110,213,R213,XO2,0.16
R195,56,213,R213,NO2,1.0
R195,190,213,R213,ALD,0.46
R195,106,213,R213,MGLY,0.54
R196,82,214,MACP,R214,-1.0
R196,204,214,NO,R214,-1.0
R196,26,214,R214,MO2,0.65
R196,30,214,R214,ACO3,0.35
R196,56,214,R214,NO2,1.0
R196,97,214,R214,CO,0.65
R196,90,214,R214,HCHO,0.65
R197,170,215,MCP,R215,-1.0
R197,204,215,NO,R215,-1.0
R197,56,215,R215,NO2,1.0
R197,187,215,R215,HO2,0.5
R197,90,215,R215,HCHO,0.5
R197,57,215,R215,HKET,1.0
R198,67,216,MVKP,R216,-1.0
R198,204,216,NO,R216,-1.0
R198,187,216,R216,HO2,0.3
R198,30,216,R216,ACO3,0.7
R198,110,216,R216,XO2,0.7
R198,56,216,R216,NO2,1.0
R198,90,216,R216,HCHO,0.3
R198,190,216,R216,ALD,0.7
R198,106,216,R216,MGLY,0.3
R199,74,217,UALP,R217,-1.0
R199,204,217,NO,R217,-1.0
R199,187,217,R217,HO2,1.0
R199,56,217,R217,NO2,1.0
R199,97,217,R217,CO,0.61
R199,90,217,R217,HCHO,0.03
R199,190,217,R217,ALD,0.27
R199,183,217,R217,GLY,0.18
R199,188,217,R217,KET,0.7
R199,106,217,R217,MGLY,0.21
R200,91,218,BALP,R218,-1.0
R200,204,218,NO,R218,-1.0
R200,89,218,R218,BAL1,1.0
R200,56,218,R218,NO2,1.0
R200,207,218,R218,CO2,1.0
R201,89,219,BAL1,R219,-1.0
R201,204,219,NO,R219,-1.0
R201,129,219,R219,BAL2,1.0
R201,56,219,R219,NO2,1.0
R202,200,220,ADDC,R220,-1.0
R202,204,220,NO,R220,-1.0
R202,187,220,R220,HO2,1.0
R202,56,220,R220,NO2,1.0
R202,57,220,R220,HKET,0.32
R202,183,220,R220,GLY,0.68
R202,124,220,R220,OP2,0.68
R203,179,221,MCTP,R221,-1.0
R203,204,221,NO,R221,-1.0
R203,217,221,R221,MCTO,1.0
R203,56,221,R221,NO2,1.0
R204,20,222,ORAP,R222,-1.0
R204,204,222,NO,R222,-1.0
R204,56,222,R222,NO2,1.0
R204,183,222,R222,GLY,1.0
R204,187,222,R222,HO2,1.0
R205,80,223,OLNN,R223,-1.0
R205,204,223,NO,R223,-1.0
R205,56,223,R223,NO2,1.0
R205,187,223,R223,HO2,1.0
R205,203,223,R223,ONIT,1.0
R206,125,224,OLND,R224,-1.0
R206,204,224,NO,R224,-1.0
R206,56,224,R224,NO2,2.0
R206,90,224,R224,HCHO,0.287
R206,190,224,R224,ALD,1.24
R206,188,224,R224,KET,0.464
R207,105,225,ADCN,R225,-1.0
R207,204,225,NO,R225,-1.0
R207,56,225,R225,NO2,2.0
R207,183,225,R225,GLY,1.0
R207,124,225,R225,OP2,1.0
R208,110,226,XO2,R226,-1.0
R208,204,226,NO,R226,-1.0
R208,56,226,R226,NO2,1.0
R209,129,227,BAL2,R227,-1.0
R209,56,227,NO2,R227,-1.0
R209,203,227,R227,ONIT,1.0
R210,194,228,CHO,R228,-1.0
R210,56,228,NO2,R228,-1.0
R210,203,228,R228,ONIT,1.0
R211,217,229,MCTO,R229,-1.0
R211,56,229,NO2,R229,-1.0
R211,203,229,R229,ONIT,1.0
R212,26,230,MO2,R230,-1.0
R212,187,230,HO2,R230,-1.0
R212,205,230,R230,OP1,1.0
R213,32,231,ETHP,R231,-1.0
R213,187,231,HO2,R231,-1.0
R213,124,231,R231,OP2,1.0
R214,116,232,HC3P,R232,-1.0
R214,187,232,HO2,R232,-1.0
R214,124,232,R232,OP2,1.0
R215,149,233,HC5P,R233,-1.0
R215,187,233,HO2,R233,-1.0
R215,124,233,R233,OP2,1.0
R217,212,234,ETEP,R234,-1.0
R217,187,234,HO2,R234,-1.0
R217,124,234,R234,OP2,1.0
R218,168,235,OLTP,R235,-1.0
R218,187,235,HO2,R235,-1.0
R218,124,235,R235,OP2,1.0
R219,164,236,OLIP,R236,-1.0
R219,187,236,HO2,R236,-1.0
R219,124,236,R236,OP2,1.0
ROCARO32,136,237,BENP,R237,-1.0
ROCARO32,187,237,HO2,R237,-1.0
ROCARO32,124,237,R237,OP2,0.6021
ROCARO32,78,237,R237,VROCN1OXY6,0.3979
ROCARO42,66,238,TOLP,R238,-1.0
ROCARO42,187,238,HO2,R238,-1.0
ROCARO42,124,238,R238,OP2,0.7195
ROCARO42,78,238,R238,VROCN1OXY6,0.2805
ROCARO52,146,239,XYLP,R239,-1.0
ROCARO52,187,239,HO2,R239,-1.0
ROCARO52,124,239,R239,OP2,0.0482
ROCARO52,142,239,R239,VOP3,0.6747
ROCARO52,134,239,R239,VROCP0OXY4,0.2771
ROCARO62,65,240,EBZP,R240,-1.0
ROCARO62,187,240,HO2,R240,-1.0
ROCARO62,124,240,R240,OP2,0.0854
ROCARO62,142,240,R240,VOP3,0.6341
ROCARO62,134,240,R240,VROCP0OXY4,0.2805
R229,18,241,APIP1,R241,-1.0
R229,187,241,HO2,R241,-1.0
R229,5,241,R241,ACT,0.039
R229,171,241,R241,LIMAL,0.039
R229,90,241,R241,HCHO,0.0625
R229,77,241,R241,OPB,0.762
R229,187,241,R241,HO2,0.3225
R229,154,241,R241,PINAL,0.1885
R229,182,241,R241,HO,0.238
R229,188,241,R241,KET,0.0105
TRP21,161,242,APIP2,R242,-1.0
TRP21,187,242,HO2,R242,-1.0
TRP21,135,242,R242,VHOM,1.0
TRP22,112,243,APINP1,R243,-1.0
TRP22,187,243,HO2,R243,-1.0
TRP22,176,243,R243,VTRPN,0.461
TRP22,154,243,R243,PINAL,0.455
TRP22,56,243,R243,NO2,0.539
TRP22,182,243,R243,HO,0.6195
TRP22,190,243,R243,ALD,0.077
TRP22,188,243,R243,KET,0.007
TRP22,90,243,R243,HCHO,0.007
TRP23,178,244,APINP2,R244,-1.0
TRP23,187,244,HO2,R244,-1.0
TRP23,135,244,R244,VHOM,1.0
R230,34,245,LIMP1,R245,-1.0
R230,187,245,HO2,R245,-1.0
R230,77,245,R245,OPB,0.9
R230,171,245,R245,LIMAL,0.1
R230,182,245,R245,HO,0.1
R230,187,245,R245,HO2,0.1
R230,90,245,R245,HCHO,0.06
TRP24,103,246,LIMP2,R246,-1.0
TRP24,187,246,HO2,R246,-1.0
TRP24,135,246,R246,VHOM,1.0
TRP25,191,247,LIMNP1,R247,-1.0
TRP25,187,247,HO2,R247,-1.0
TRP25,176,247,R247,VTRPN,0.77
TRP25,182,247,R247,HO,0.5
TRP25,171,247,R247,LIMAL,0.23
TRP25,56,247,R247,NO2,0.23
TRP25,187,247,R247,HO2,0.27
TRP26,54,248,LIMNP2,R248,-1.0
TRP26,187,248,HO2,R248,-1.0
TRP26,135,248,R248,VHOM,1.0
TRP27,69,249,PINALP,R249,-1.0
TRP27,187,249,HO2,R249,-1.0
TRP27,77,249,R249,OPB,0.75
TRP27,182,249,R249,HO,0.25
TRP27,135,249,R249,VHOM,0.25
TRP28,147,250,LIMALP,R250,-1.0
TRP28,187,250,HO2,R250,-1.0
TRP28,77,250,R250,OPB,0.9
TRP28,182,250,R250,HO,0.1
TRP28,187,250,R250,HO2,0.1
TRP28,90,250,R250,HCHO,0.1
TRP28,181,250,R250,PAA,0.1
R231,30,251,ACO3,R251,-1.0
R231,187,251,HO2,R251,-1.0
R231,182,251,R251,HO,0.44
R231,26,251,R251,MO2,0.44
R231,207,251,R251,CO2,0.44
R231,177,251,R251,ORA2,0.15
R231,181,251,R251,PAA,0.41
R232,173,252,RCO3,R252,-1.0
R232,187,252,HO2,R252,-1.0
R232,182,252,R252,HO,0.44
R232,32,252,R252,ETHP,0.44
R232,207,252,R252,CO2,0.44
R232,177,252,R252,ORA2,0.15
R232,181,252,R252,PAA,0.41
R233,208,253,ACTP,R253,-1.0
R233,187,253,HO2,R253,-1.0
R233,182,253,R253,HO,0.15
R233,30,253,R253,ACO3,0.15
R233,90,253,R253,HCHO,0.15
R233,124,253,R253,OP2,0.85
R234,202,254,MEKP,R254,-1.0
R234,187,254,HO2,R254,-1.0
R234,124,254,R254,OP2,1.0
R235,148,255,KETP,R255,-1.0
R235,187,255,HO2,R255,-1.0
R235,124,255,R255,OP2,1.0
R236,82,256,MACP,R256,-1.0
R236,187,256,HO2,R256,-1.0
R236,50,256,R256,MAHP,1.0
R237,170,257,MCP,R257,-1.0
R237,187,257,HO2,R257,-1.0
R237,50,257,R257,MAHP,1.0
R238,67,258,MVKP,R258,-1.0
R238,187,258,HO2,R258,-1.0
R238,124,258,R258,OP2,1.0
R239,74,259,UALP,R259,-1.0
R239,187,259,HO2,R259,-1.0
R239,124,259,R259,OP2,1.0
RBAL3,91,260,BALP,R260,-1.0
RBAL3,187,260,HO2,R260,-1.0
RBAL3,142,260,R260,VOP3,0.41
RBAL3,177,260,R260,ORA2,0.15
RBAL3,209,260,R260,O3,0.15
RBAL3,89,260,R260,BAL1,0.44
RBAL3,182,260,R260,HO,0.44
RBAL3,207,260,R260,CO2,0.44
RBAL4,89,261,BAL1,R261,-1.0
RBAL4,187,261,HO2,R261,-1.0
RBAL4,177,261,R261,ORA2,1.0
RBAL5,129,262,BAL2,R262,-1.0
RBAL5,209,262,O3,R262,-1.0
RBAL5,89,262,R262,BAL1,1.0
R240,200,263,ADDC,R263,-1.0
R240,187,263,HO2,R263,-1.0
R240,124,263,R263,OP2,1.0
R241,194,264,CHO,R264,-1.0
R241,187,264,HO2,R264,-1.0
R241,128,264,R264,CSL,1.0
R242,179,265,MCTP,R265,-1.0
R242,187,265,HO2,R265,-1.0
R242,124,265,R265,OP2,1.0
R243,20,266,ORAP,R266,-1.0
R243,187,266,HO2,R266,-1.0
R243,124,266,R266,OP2,1.0
R244,80,267,OLNN,R267,-1.0
R244,187,267,HO2,R267,-1.0
R244,203,267,R267,ONIT,1.0
R245,125,268,OLND,R268,-1.0
R245,187,268,HO2,R268,-1.0
R245,203,268,R268,ONIT,1.0
R246,105,269,ADCN,R269,-1.0
R246,187,269,HO2,R269,-1.0
R246,203,269,R269,ONIT,1.0
R247,110,270,XO2,R270,-1.0
R247,187,270,HO2,R270,-1.0
R247,124,270,R270,OP2,1.0
R248,26,271,MO2,R271,-1.0
R248,26,271,MO2,R271,-1.0
R248,187,271,R271,HO2,0.74
R248,90,271,R271,HCHO,1.37
R248,224,271,R271,MOH,0.63
R249,32,272,ETHP,R272,-1.0
R249,26,272,MO2,R272,-1.0
R249,187,272,R272,HO2,1.0
R249,90,272,R272,HCHO,0.75
R249,186,272,R272,ACD,0.75
R249,224,272,R272,MOH,0.25
R249,150,272,R272,EOH,0.25
R250,116,273,HC3P,R273,-1.0
R250,26,273,MO2,R273,-1.0
R250,187,273,R273,HO2,0.894
R250,26,273,R273,MO2,0.08
R250,32,273,R273,ETHP,0.026
R250,110,273,R273,XO2,0.026
R250,90,273,R273,HCHO,0.827
R250,190,273,R273,ALD,0.198
R250,188,273,R273,KET,0.497
R250,183,273,R273,GLY,0.05
R250,224,273,R273,MOH,0.25
R250,140,273,R273,ROH,0.25
R251,149,274,HC5P,R274,-1.0
R251,26,274,MO2,R274,-1.0
R251,187,274,R274,HO2,0.842
R251,26,274,R274,MO2,0.018
R251,32,274,R274,ETHP,0.14
R251,110,274,R274,XO2,0.191
R251,90,274,R274,HCHO,0.777
R251,190,274,R274,ALD,0.251
R251,188,274,R274,KET,0.618
R251,224,274,R274,MOH,0.25
R251,140,274,R274,ROH,0.25
R253,212,275,ETEP,R275,-1.0
R253,26,275,MO2,R275,-1.0
R253,187,275,R275,HO2,1.0
R253,90,275,R275,HCHO,1.95
R253,190,275,R275,ALD,0.15
R253,224,275,R275,MOH,0.25
R253,48,275,R275,ETEG,0.25
R254,168,276,OLTP,R276,-1.0
R254,26,276,MO2,R276,-1.0
R254,187,276,R276,HO2,1.0
R254,90,276,R276,HCHO,1.5
R254,190,276,R276,ALD,0.705
R254,188,276,R276,KET,0.045
R254,224,276,R276,MOH,0.25
R254,140,276,R276,ROH,0.25
R255,164,277,OLIP,R277,-1.0
R255,26,277,MO2,R277,-1.0
R255,187,277,R277,HO2,1.0
R255,90,277,R277,HCHO,0.75
R255,190,277,R277,ALD,1.28
R255,188,277,R277,KET,0.218
R255,224,277,R277,MOH,0.25
R255,140,277,R277,ROH,0.25
ROCARO35,136,278,BENP,R278,-1.0
ROCARO35,26,278,MO2,R278,-1.0
ROCARO35,90,278,R278,HCHO,0.68
ROCARO35,187,278,R278,HO2,1.37
ROCARO35,224,278,R278,MOH,0.32
ROCARO35,51,278,R278,BALD,0.0
ROCARO35,183,278,R278,GLY,1.0
ROCARO35,180,278,R278,FURANONE,0.5
ROCARO35,108,278,R278,DCB2,0.25
ROCARO35,115,278,R278,DCB3,0.25
ROCARO45,66,279,TOLP,R279,-1.0
ROCARO45,26,279,MO2,R279,-1.0
ROCARO45,90,279,R279,HCHO,0.68
ROCARO45,187,279,R279,HO2,1.2846
ROCARO45,224,279,R279,MOH,0.32
ROCARO45,51,279,R279,BALD,0.0854
ROCARO45,183,279,R279,GLY,0.5488
ROCARO45,106,279,R279,MGLY,0.3659
